"uuid";"code";"title";"description";"active"
"2ad3343b-b867-4ad6-a1ef-df14c5cf424b";"A00";"Organisering mv. i almindelighed";"A00 anvendes når en sag går på tværs af flere A handlingsfacetter eller når A facetkategorien ikke rummer en specifik facet til sagen.";1
"2ee492b5-2d71-4489-ad2b-e88d18d4d149";"S00";"Overordnet økonomi i almindelighed";"S00 anvendes når en sag går på tværs af flere S handlingsfacetter eller når S facetkategorien ikke rummer en specifik facet til sagen.";1
"2feafb9a-1363-4d05-b66e-9a2143d55e81";"Ø59";"Garantistillelse til kommunen";"I forbindelse med udførsel af opgaver/anlæg for kommunen kræves der i nogle tilfælde indbetaling af et beløb på en spærret bankkonto. Garantien indløses i tilfælde af misligholdelse af kontrakten eller virksomhedens betalingsstandsning. Sådanne bankgarantier skal journaliseres med handlingsfacet Ø59, der således dækker garantistillelser til kommunen, modsat Ø60, hvor det er kommunen, der stiller garanti.";1
"30e15221-75f2-4cb7-bc4e-6d8070730b25";"P20";"Projekter";"P20 anvendes ved alle former for projekter og projektforslag inden for samtlige kommunale områder. Det er kommunen selv, der afgør, hvornår noget er et projekt, men et projekt vil typisk adskille sig fra den daglige »driftssituation« ved at være tidsbestemt i en kortere eller længere periode. P20 anvendes også selv om projektet ikke gennemføres. Eksempler er:


    
        byggeprojekter
        vejprojekter
        anlægsprojekter
        erhvervsprojekter
        socialprojekter
        sundhedsprojekter
        kulturprojekter
        borgerprojekter
        skoleprojekter
        medarbejderprojekter
        IT-projekter";1
"3751b433-201c-4d87-8b6c-60cda4219712";"P08";"Forsøgsordninger";"P08 facetten anvendes når kommunen enten alene, eller sammen med diverse ministerier og organisationer, gennemfører forskellige forsøgsordninger. Inden for nogle sektorområder åbner lovgivningen tillige for muligheden for forsøgsordninger, eksempelvis på folkeskoleområdet og det sociale område.";1
"388de92f-fe48-43f0-abd7-fcd7967ec987";"Ø61";"Erstatninger til og fra kommunen";"Ø61 dækker både de tilfælde, hvor kommunen modtager erstatning og hvor kommunen udbetaler erstatning.

Selvforsikrede kommuner anvender Ø61 til alle sager om udbetaling af erstatninger.";1
"3c69d2e8-560d-4964-857e-b43756a95bb2";"Ø48";"Henstand/eftergivelse";"Ø48 dækker sager om henstand og/eller eftergivelse af en skyldig betaling til kommunen.

Det er restanceinddrivelsesmyndigheden, der er myndighed på opgaven. Ø48 anvendes i de tilfælde, hvor kommunen ønsker at oprette sag til opbevaring af egen og borgers korrespondance med Restanceinddrivelsesmyndigheden i forbindelse med en ansøgning om eftergivelse af gæld.

I forbindelse med henstand/eftergivelse af lån ved støtte til bil efter SEL § 114 er kommunen myndighed. Her anvendes 25.45.10 med Ø48.";1
"3d2b5652-c1fc-4d38-b445-503dd6942391";"P15";"Kommunale planer og planforslag omfattende hele kommunen";"P15 dækker planer, der omfatter hele kommunen fysisk, eksempelvis kommuneplanen, affaldsplanen, sundhedsplanen, spildevandsplanen, erhvervsudviklingsplaner, beredskabsplaner osv.
        Endvidere anvendes handlingsfacet P15 også til planer af mere intern karakter, eksempelvis uddannelsesplan for det samlede kommunale personale, plan for vedligeholdelse af de samlede kommunale ejendomme mv.
        P15 dækker såvel planforslag som de vedtagne gældende planer.
        P15 anvendes også til kommunale strategier.
        
    


Henvisning til andre relevante facetter


    
        Høringer i forbindelse med udarbejdelsen af planerne tilføjes K04.
        Dispensationer til gældende planer tilføjes P25.
        Virksomhedsplaner og årsplaner, se P16.";1
"3d38cac3-5021-4074-bdb9-d464ac94765a";"A08";"Foreningers og ikke-officielle råds organisering";"A08 dækker sager om organiseringen af ikke-kommunale foreninger og ikke-officielle råd i kommunen, fx:


    
        grundejerforeninger
        idrætsforeninger
        lokalhistoriske foreninger
        boligforeninger
        ungdomsråd
        børneråd
        
    


Facetten bruges til sager, hvor kommunen er myndighed ift. foreninger og ikke-officielle råd.";1
"4388343a-c98a-4efc-a1a3-f827439ac66d";"Ø39";"Tilskud - medfinansierede projekter";"Ø39 anvendes når kommuner administrerer tilskud (fx indstiller til eller yder), hvor tilskuddene er finansieret eller medfinansieret af EU og staten, og kommunen indstiller eller administrerer de pågældende tilskud. Eksempler er tilskud til miljøvenlige jordbrugsforanstaltninger (MVJ), socialfonden MÅL 3 til udvikling af de menneskelige ressourcer, Mål 2 og udfasningsprogrammet om erhvervsudvikling i landbrugsprægede kommuner. Kommuner der modtager tilskud journaliseres under Ø34.";1
